SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,REP_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT,latitude,longitude
555636346,555636346,PA,Las Horquetas,Las Horquetas,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Terrestrial,0,25,Not Applicable,0,Designated,1989,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-43.46634862399998,-70.78450637399999
555636347,555636347,PA,Litoral Chaqueño,Litoral Chaqueño,Parque Provincial,Provincial Park,National,Not Reported,Not Applicable,Terrestrial,0,100,Not Applicable,0,Designated,1970,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-27.557767995999995,-58.917293669
555636348,555636348,PA,Merced De Altapauca,Merced De Altapauca,Refugio Privado Vida Silvestre,Private Wildlife Refuge,National,VI,Not Applicable,Terrestrial,0,6.23,Not Applicable,0,Designated,2004,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-28.415772514000025,-65.69002666799997
555636351,555636351,PA,Paso Viejo,Paso Viejo,Refugio de Vida Silvestre,Wildlife Refuge,National,Not Reported,Not Applicable,Terrestrial,0,17.4,Not Applicable,0,Designated,2005,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-30.38671568799998,-64.83174641800002
555636352,555636352,PA,Potrero De San Lorenzo,Potrero De San Lorenzo,Reserva Natural,National Reserve,National,VI,Not Applicable,Terrestrial,0,180,Not Applicable,0,Designated,2015,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-33.089608372999976,-58.32277817699997
555636353,555636353,PA,Presidencia De La Plaza,Presidencia De La Plaza,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Terrestrial,0,22.5,Not Applicable,0,Designated,1935,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.983272611000018,-59.85602799399998
555636354,555636354,PA,Presidencia Roque Sáenz Peña,Presidencia Roque Sáenz Peña,Reserva de Uso Múltiple,Multiple Use Reserve,National,Not Reported,Not Applicable,Terrestrial,0,1.8,Not Applicable,0,Designated,2001,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.789888269000016,-60.43969907700001
555636355,555636355,PA,Punta Delgada,Punta Delgada,Reserva Natural Turística,Natural Tourist Reserve,National,Not Reported,Not Applicable,Marine,0,28.29,Not Reported,0,Designated,1969,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Applicable,Not Applicable,-42.74479092199999,-63.631052908000015
555636356,555636356,PA,Punta Norte,Punta Norte,Reserva Natural Turística,Natural Tourist Reserve,National,Not Reported,Not Applicable,Marine,0,0.06,Not Reported,0,Designated,1967,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Applicable,Not Applicable,-42.06637173600001,-63.767544891
555636357,555636357,PA,Punta Pirámides,Punta Pirámides,Reserva Natural Turística,Natural Tourist Reserve,National,Not Reported,Not Applicable,Marine,0,1.32,Not Reported,0,Designated,1974,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Applicable,Not Applicable,-42.579055864,-64.31238253200002
555636358,555636358,PA,Quebracho de la Legua,Quebracho de la Legua,Reserva Natural,National Reserve,National,Not Reported,Not Applicable,Terrestrial,0,22.42,Not Applicable,0,Designated,1979,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-32.35966157199999,-66.90967251199999
555636359,555636359,PA,Rincon del Iguazú,Rincon del Iguazú,Refugio Privado de Vida Silvestre,Private Wildlife Refuge,National,Not Reported,Not Applicable,Terrestrial,0,5.5,Not Applicable,0,Designated,1996,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-25.616054292,-54.06706255500001
555636360,555636360,PA,Salto Kuppers,Salto Kuppers,Parque Natural Municipal,Municipal Nature Park,National,Not Reported,Not Applicable,Terrestrial,0,0.64,Not Applicable,0,Designated,1995,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.432732321999993,-54.683753255
555636361,555636361,PA,San Martín Del Alto Negro,San Martín Del Alto Negro,Refugio Privado de Vida Silvestre,Private Wildlife Refuge,National,VI,Not Applicable,Terrestrial,0,452,Not Applicable,0,Designated,1995,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-33.34947963799999,-65.250832291
555636362,555636362,PA,Santa Teresa,Santa Teresa,Refugio Privado de Vida Silvestre,Private Wildlife Refuge,National,VI,Not Applicable,Terrestrial,0,750,Not Applicable,0,Designated,2004,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-39.905164936000006,-70.23524490900002
555636363,555636363,PA,Sierra de los Comechingones,Sierra de los Comechingones,Unidad de Conservación,Conservation Unit,National,Not Reported,Not Applicable,Terrestrial,0,311,Not Applicable,0,Designated,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-32.554661623000015,-64.93803290599999
555636365,555636365,PA,Vaquerías,Vaquerías,Reserva Natural,National Reserve,National,VI,Not Applicable,Terrestrial,0,3.8,Not Applicable,0,Designated,1991,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.116106593999973,-64.55078840499999
555636366,555636366,PA,Vira Pita,Vira Pita,Parque Natural Provincial,Municipal Nature Park,National,Not Reported,Not Applicable,Terrestrial,0,6.15,Not Applicable,0,Designated,1963,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-29.221289058000025,-59.50969590800003
555636367,555636367,PA,Yacutinga,Yacutinga,Refugio Privado de Vida Silvestre,Private Wildlife Refuge,National,Not Reported,Not Applicable,Terrestrial,0,5.5,Not Applicable,0,Designated,2000,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-25.949422932999994,-54.11416498900002
555636368,555636368,PA,Yuqueri,Yuqueri,Reserva Privada,Private Reserve,National,VI,Not Applicable,Terrestrial,0,1,Not Applicable,0,Designated,2005,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.259372632999998,-58.222049149999975
555636369,555636369,PA,Zona Protección de Aves Silvestres,Zona Protección de Aves Silvestres,Paisaje Protegido,Protected Landscape,National,Not Reported,Not Applicable,Terrestrial,0,0.98,Not Applicable,0,Designated,1993,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.332811291999977,-58.00056165400003
555637351,555637351,PA,Isoró,Isoró,Reserva Ictica,Ictica Reserve,National,VI,Not Applicable,Terrestrial,0,1000,Not Applicable,0,Designated,1984,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-29.43221007199998,-59.44063438400003
555637352,555637352,PA,Aguas Chiquitas,Aguas Chiquitas,Reserva Natural,Natural reserve,National,VI,Not Applicable,Terrestrial,0,31.65,Not Applicable,0,Designated,1982,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.612002975999985,-65.20733278699998
555637353,555637353,PA,Isla del Sol,Isla del Sol,Reserva Municipal,Municipal Reserve,National,VI,Not Applicable,Terrestrial,0,2,Not Applicable,0,Designated,1993,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-33.21739063899997,-60.33080268399999
