SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,REP_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT,latitude,longitude
14,14,PA,Tierra del Fuego,Tierra del Fuego,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,8.71,689.099975586,Not Applicable,0,Designated,1960,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,Not Reported,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-54.64225699899999,-68.48597408900002
61853,61853,PA,La Noria,La Noria,Reserva de Uso Múltiple,Multiple Use Reserve,National,VI,Not Applicable,Terrestrial,0,0.85,Not Applicable,0,Designated,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-32.15620382600003,-60.95951301600002
300020,300020,PA,Campo General Belgrano,Campo General Belgrano,Area de Conservación,Conservation Area,National,VI,Not Applicable,Terrestrial,0,32.98,Not Applicable,0,Designated,1996,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-24.782346839000013,-65.33416890500001
300043,300043,PA,Isla Botija,Isla Botija,Reserva Natural de Uso Múltiple,Multiple Use Nature Reserve,National,VI,Not Applicable,Terrestrial,0,7.59,Not Applicable,0,Designated,1958,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-33.96257864900002,-58.76809937600001
300047,300047,PA,Isla Deseada,Isla Deseada,Area de Uso Científico Bajo Protección Especial,Scientific Use Area Under Special Protection,National,VI,Not Applicable,Terrestrial,0,4.9,Not Applicable,0,Designated,1990,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-51.546840540999995,-68.97184525799997
300055,300055,PA,Delta en Formación,Delta en Formación,Reserva Natural Integral,Integral Nature Reserve,National,Not Reported,Not Applicable,Terrestrial,0,15,Not Applicable,0,Designated,1999,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-34.333936857000026,-58.44941570700001
555587089,555587089,PA,Islote Coria,Islote Coria,Reserva de Uso Múltiple,Multiple Use Reserve,National,VI,Not Applicable,Terrestrial,0,0.2,Not Applicable,0,Designated,2005,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-32.037678656000026,-60.659843566999996
555587090,555587090,PA,Montecito de Lovera,Montecito de Lovera,Reserva de Uso Múltiple,Multiple Use Reserve,National,VI,Not Applicable,Terrestrial,0,0.06,Not Applicable,0,Designated,2001,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.5723093,-60.0667246
555587092,555587092,PA,Parana Guazu,Paraná Guazú,Reserva Natural Objetivo Definido Educativo,Nature Reserve,National,IV,Not Applicable,Terrestrial,0,7.47,Not Applicable,0,Designated,2011,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-33.863335576,-59.09294607099998
555587094,555587094,PA,De los Ombúes,De los Ombúes,Reserva Natural Municipal,Municipal Nature Reserve,National,VI,Not Applicable,Terrestrial,0,0.03,Not Applicable,0,Designated,2002,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-32.63880981099999,-60.13851794599997
555587095,555587095,PA,El Alisal (Isla El Espinillo),El Alisal (Isla El Espinillo),Paisaje Protegido,Protected Landscape,National,V,Not Applicable,Terrestrial,0,2.46,Not Applicable,0,Designated,2000,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-32.56616039900001,-60.16731404299998
