SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,REP_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT,latitude,longitude
555587098,555587098,PA,El Chañar,El Chañar,Reserva Natural de Uso Múltiple,Multiple Use Nature Reserve,National,VI,Not Applicable,Terrestrial,0,7.5,Not Applicable,0,Designated,1996,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-32.36615749600003,-59.91730372400003
555587108,555587108,PA,Cerro Chalten,Cerro Chalten,Monumento Natural,Nature Monument,National,III,Not Applicable,Terrestrial,0,0.58,Not Applicable,0,Designated,2000,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-49.227249664,-73.13072406999999
555587109,555587109,PA,La Florida,La Florida,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,22.7,Not Applicable,0,Designated,2004,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-49.21054309499999,-72.81886810200001
555636306,555636306,PA,Abayuva,Abayuva,Paisaje Protegido,Protected Landscape,National,Not Reported,Not Applicable,Terrestrial,0,2.15,Not Applicable,0,Designated,1995,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.382812231999996,-58.017229548999985
555636307,555636307,PA,Aconquija,Aconquija,Parque Provincial,Provincial Park,National,Not Reported,Not Applicable,Terrestrial,0,5,Not Applicable,0,Designated,1936,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.79441944299998,-65.36368816999999
555636308,555636308,PA,Arboretum L.N. Alem,Arboretum L.N. Alem,Reserva de Uso Múltiple,Multiple Use Reserve,National,Not Reported,Not Applicable,Terrestrial,0,0.36,Not Applicable,0,Designated,1994,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-27.517587385000013,-55.278112893000014
555636309,555636309,PA,Arroyo Ayui Grande,Arroyo Ayui Grande,Reserva Privada,Private Reserve,National,Not Reported,Not Applicable,Terrestrial,0,2.15,Not Applicable,0,Designated,2000,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.213529713000014,-58.109686188000005
555636310,555636310,PA,Augusto Schulz,Augusto Schulz,Reserva de Recursos,Resource Reserve,National,Not Reported,Not Applicable,Terrestrial,0,24.91,Not Applicable,0,Designated,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-25.41602576899999,-61.450646355
555636312,555636312,PA,Bajo De Veliz,Bajo De Veliz,Parque Provincial,Provincial Park,National,Not Reported,Not Applicable,Terrestrial,0,60,Not Applicable,0,Designated,1989,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-32.33268458499998,-65.397875715
555636313,555636313,PA,Caleta Valdés,Caleta Valdés,Reserva Natural Turística,Natural Tourist Reserve,National,Not Reported,Not Applicable,Terrestrial,0,100,Not Applicable,0,Designated,1977,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-42.304479663999984,-63.617213241
555636314,555636314,PA,Camino La Luisa,Camino La Luisa,Paisaje Protegido,Protected Landscape,National,Not Reported,Not Applicable,Terrestrial,0,0,Not Applicable,0,Designated,2011,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-40.108997441999975,-64.45518683199998
555636315,555636315,PA,Caraguatay,Caraguatay,Reserva Natural Ictica,Ictica Natural Reserve,National,Not Reported,Not Applicable,Terrestrial,0,0.52,Not Applicable,0,Designated,1979,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-26.566068304999988,-54.783757295999976
555636316,555636316,PA,Carpincho,Carpincho,Reserva de Uso Múltiple,Multiple Use Reserve,National,Not Reported,Not Applicable,Terrestrial,0,3.75,Not Applicable,0,Designated,1989,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-31.582811686000014,-59.03393305600002
555636317,555636317,PA,Cerro Currumahuida,Cerro Currumahuida,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Terrestrial,0,32.5,Not Applicable,0,Designated,1982,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable,-42.19915396099998,-71.61358350900002
